CI Name,Criticality ,SOX Critical,App Type,Function Details,Application,Usage,Hosting and Delivery Model,Architecture,Application Package,Brand,Primary Location,Primary Location Presence,CI Collection,Service,User BU,BU Count,CAO,FIN,GOV,GSMB,HR,IT,MLP,MRKTG,OEFC,R&D,SALES,SVCS,Shared across multiple BUs,Past 12 month Tickets Total,User Interactions,System Incidents,Changes,Interfaces,Servers,Databases,Version
LRS - Leave Request System (Prod instance),Bronze,No,HR,Leave Request System,LRS-PROD,Resource Management,Internal/Insourced,3-Tier (Web/App/DB Svrs),Home-grown,Avaya,EMEA DC1,EMEA DC1 (100%),LRS,LEAVE REQUEST SYSTEM (LRS),GSMB,1,0,0,0,1,0,0,0,0,0,0,0,0,Dedicated Apps,52,52,0,0,1,2,1,0
Marketing Anonymous Portal,Silver,No,MARKETING,Anonymous web portal,MKT-ANONYMOUS-PORTAL-PROD,Web Portal,Internal/Insourced,3-Tier (Web/App/DB Svrs),Home-grown,Avaya,US1,US1 (100%),MKT-ANONYMOUS-PORTAL,MKT-ANONYMOUS-PORTAL-SERVICE,MRKTG;#SALES,2,0,0,0,0,0,0,0,1,0,0,1,0,Shared Apps,1,0,0,1,0,4,1,1
MAT Data Warehouse,Bronze,No,PRODUCT,Data warehouse system w/supplychain data,MATDB-ENT-PROD,Business Intelligence/Reporting,Internal/Insourced,2-Tier (App Svrs + DB Svrs - Requires a client to access the app),Home-grown,Avaya,US1,US1 (100%),MATDB-ENT,MATDB-ENT-SERVICE,MLP;#OEFC,2,0,0,0,0,0,0,1,0,1,0,0,0,Shared Apps,7,5,1,1,2,1,0,0
MIIS,Silver,No,HR,Identity info management across org,MIIS-PROD,Infrastructure,Internal/Insourced,2-Tier (App Svrs + DB Svrs - Requires a client to access the app),Home-grown,microsoft,US1,US1 (100%),MIIS,MIIS/ILM-SERVICE,HR,1,0,0,0,0,1,0,0,0,0,0,0,0,Dedicated Apps,25,1,0,24,6,4,1,2007
Moving Average Cost&Inventory Books,Bronze,No,FINANCE,Statutory - Inventory Reporting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MQSeries ENT,Silver,Yes,APPLICATION SHARED SERVICES,Provides transport of transaction data,MQSERIES-ENT-PROD,Middleware,Internal/Outsourced,3-Tier (Web/App/DB Svrs),Home-grown,IBM,US1,US1 (100%),MQSERIES-ENT,MQSERIES-ENT-SERVICE,CAO;#FIN;#GOV;#GSMB;#HR;#IT;#MLP;#MRKTG;#OEFC;#R&D;#SALES;#SVCS,12,1,1,1,1,1,1,1,1,1,1,1,1,Shared Apps,0,0,0,0,0,1,0,6.1
MQSERIES-HSPAPP1,Silver,No,APPLICATION SHARED SERVICES,IT,MQSERIES-PROD,Middleware,Internal/Outsourced,Appliance based,Commercially Available,IBM MQ-Series,COPPELL,COPPELL (50%),MQSERIES,MQ SERIES,CAO;#FIN;#GOV;#GSMB;#HR;#IT;#MLP;#MRKTG;#OEFC;#R&D;#SALES;#SVCS,12,1,1,1,1,1,1,1,1,1,1,1,1,Shared Apps,53,0,0,53,0,2,0,5.2
My Personal Data,Bronze,No,HR,Web front-end to employee data,MPD-PROD,Web Portal,Internal/Insourced,3-Tier (Web/App/DB Svrs),Home-grown,Avaya,US1,US1 (100%),MPD,MY PERSONAL DATA (MPD),HR,1,0,0,0,0,1,0,0,0,0,0,0,0,Dedicated Apps,18,11,0,7,0,1,1,0
netTIME,Bronze,No,FINANCE,Time Tracking Application,NETTIME-PROD,Payroll,Internal/Insourced,3-Tier (Web/App/DB Svrs),Home-grown,Avaya,,,NETTIME,NETTIME-SERVICE,HR,1,0,0,0,0,1,0,0,0,0,0,0,0,Dedicated Apps,8,7,1,0,7,1,1,0
NETZER,Bronze,No,HR,Statutory - Manage Fleet of Cars,NETZER-PROD,Resource Management,Internal/Insourced,3-Tier (Web/App/DB Svrs),Commercially Available,ITAM,,,NETZER,NETZER-SERVICE,HR,1,0,0,0,0,1,0,0,0,0,0,0,0,Dedicated Apps,0,0,0,0,0,0,0,6.5
NIMBUS,Silver,No,APPLICATION SHARED SERVICES,used for authors development,NIMBUS-PROD,Product Development,Internal/Outsourced,3-Tier (Web/App/DB Svrs),Commercially Available,Nimbus Partners,EMEA DC1,EMEA DC1 (100%),NIMBUS,NIMBUS CONTROL,IT,1,0,0,0,0,0,1,0,0,0,0,0,0,Dedicated Apps,2,2,0,0,3,1,0,0
Nortal Revpro,Silver,No,FINANCE,Clone of Nortel Financial Interface,NORTEL-REVPRO-PROD,Middleware,Internal/Outsourced,3-Tier (Web/App/DB Svrs),Commercially Available,BEA,US1,US1 (100%),NORTEL-REVPRO,NORTEL REVPRO INTERFACE-NRI-SERVICE,SVCS,1,0,0,0,0,0,0,0,0,0,0,0,1,Dedicated Apps,0,0,0,0,0,1,0,9
Nortel Financial Interface,Silver,No,FINANCE,Facilitate the transfer of financial data,NFIWLIAPP-PROD,Middleware,Internal/Insourced,2-Tier (App Svrs + DB Svrs - Requires a client to access the app),Commercially Available,BEA,US1,US1 (100%),NFIWLIAPP,NORTEL FINANCE INTERFACE,FIN,1,0,1,0,0,0,0,0,0,0,0,0,0,Dedicated Apps,59,4,0,55,1,2,1,9
ODS Cognos,Silver,No,APPLICATION SHARED SERVICES,Reporting Application for Business&Sales,ODS-APP-COGNOS-PROD,Business Intelligence/Reporting,Internal/Insourced,3-Tier (Web/App/DB Svrs),Home-grown,Cognos,US1,US1 (100%),ODS-APP-COGNOS,OPERATIONAL DATA STORE,CAO;#FIN;#GOV;#GSMB;#HR;#IT;#MLP;#MRKTG;#OEFC;#R&D;#SALES;#SVCS,12,1,1,1,1,1,1,1,1,1,1,1,1,Shared Apps,5,4,0,1,2,15,2,8.4
ODS Cognos 84 Application,Silver,No,APPLICATION SHARED SERVICES,Reporting,ODS-APP-COGNOS-84-PROD,Business Intelligence/Reporting,Internal/Insourced,3-Tier (Web/App/DB Svrs),Home-grown,Cognos,US1,US1 (100%),ODS-APP-COGNOS-84,OPERATIONAL DATA STORE 84,CAO;#FIN;#GOV;#GSMB;#HR;#IT;#MLP;#MRKTG;#OEFC;#R&D;#SALES;#SVCS,12,1,1,1,1,1,1,1,1,1,1,1,1,Shared Apps,0,0,0,0,1,4,2,8.4
ODS Informatica,Silver,No,APPLICATION SHARED SERVICES,ODS Informatica 8 Production,ODS-APP-INFORMATICA8-PROD,Business Intelligence/Reporting,Internal/Insourced,3-Tier (Web/App/DB Svrs),Commercially Available,Informatica,US1,US1 (100%),ODS-APP-INFORMATICA8,INFORMATICA POWER CENTER,CAO;#FIN;#GOV;#GSMB;#HR;#IT;#MLP;#MRKTG;#OEFC;#R&D;#SALES;#SVCS,12,1,1,1,1,1,1,1,1,1,1,1,1,Shared Apps,14,0,0,14,12,7,2,8
ODS Oracle,Silver,No,APPLICATION SHARED SERVICES,ODS Oracle Production,ODS-APP-ORACLE-PROD,Document/File repository,Internal/Insourced,2-Tier (App Svrs + DB Svrs - Requires a client to access the app),Commercially Available,Oracle,US1,US1 (100%),ODS-APP-ORACLE,ODS-APP-ORACLE-SERVICE,MLP;#MRKTG;#SALES,3,0,0,0,0,0,0,1,1,0,0,1,0,Shared Apps,0,0,0,0,5,4,2,0
Opera,Bronze,No,SUPPLY CHAIN,Non financial data reporting tool,OPERA-PROD,Business Intelligence/Reporting,Internal/Insourced,1-Tier (App Svrs - Requires a client to access the app),Commercially Available,"Opera Analytics, BIQ",US1,US1 (100%),OPERA,OPERA ANALYTICS,CAO;#FIN;#GOV;#GSMB;#HR;#IT;#MLP;#MRKTG;#OEFC;#R&D;#SALES;#SVCS,12,1,1,1,1,1,1,1,1,1,1,1,1,Shared Apps,8,8,0,0,0,1,0,4.05
Opera EIQ,Bronze,No,SUPPLY CHAIN,Data reporting Tool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oracle API Gateway,Bronze,No,APPLICATION SHARED SERVICES,Security gateway in the Avaya DMZs for external web services,OAG-PROD,0,Internal/Insourced,1-Tier (App Svrs - Requires a client to access the app),Commercially Available,ORACLE,US1,,OAG,OAG-SERVICE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Dedicated Apps,2,0,0,2,0,2,0,#N/A
Oracle Business Process Management,Gold,Yes,APPLICATION SHARED SERVICES,Business Process Module,FMWPRODUCTION-PS6-BPM-PROD,Middleware,Internal/Insourced,2-Tier (App Svrs + DB Svrs - Requires a client to access the app),Commercially Available,Oracle,US1,US1 (100%),FMWPRODUCTION-PS6-BPM,BPM-SERVICE,CAO;#FIN;#GOV;#GSMB;#HR;#IT;#MLP;#MRKTG;#OEFC;#R&D;#SALES;#SVCS,12,1,1,1,1,1,1,1,1,1,1,1,1,Shared Apps,1,0,0,1,2,2,0,#N/A
Oracle Replication,Bronze,No,APPLICATION SHARED SERVICES,Oracle Replication,ORACLE-MDM-ENT-PROD,Document/File repository,Internal/Outsourced,3-Tier (Web/App/DB Svrs),Home-grown,ORACLE,US1,US1 (100%),ORACLE-MDM-ENT,ORACLE-MDM-ENT-SERVICE,IT,1,0,0,0,0,0,1,0,0,0,0,0,0,Dedicated Apps,6,6,0,0,2,1,1,9
Oracle Sales Cloud Incentive Comp,Silver,Yes,HR,Sales compensation and incentive computation for sales,OSC-INC-COMP-PROD,Accounting/Finance/Treasury,Software As a Service (SaaS),Other (SaaS etc..),Hybrid,Oracle,,,OSC-INC-COMP,OSC-INC-COMP-SERVICE,FIN;#GSMB;#HR;#IT;#SALES,5,0,1,0,1,1,1,0,0,0,0,1,0,Shared Apps,9,2,0,7,1,0,0,#N/A
ORS,Gold,No,SALES,Direct/indirect project sched/process,ORS-PROD,Project Management,Internal/Outsourced,3-Tier (Web/App/DB Svrs),Hybrid,SAUCON,US1,US1 (100%),ORS,ORS-NON SUPPORTED-SERVICE,SALES,1,0,0,0,0,0,0,0,0,0,0,1,0,Dedicated Apps,0,0,0,0,2,8,1,0
Parts Mart,Silver,No,SUPPLY CHAIN,App for managing commercial components,PARTSMART-ENT-PROD,0,0,0,0,JDK / Oracle,,,PARTSMART-ENT,PARTSMART-ENT-SERVICE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Dedicated Apps,7,5,0,2,1,3,1,#N/A
Personnel Admin Auto Employee Change Request,Bronze,No,SERVICES TS&D,GSD Personnel Administration,PAAUTOECR-PROD,Resource Management,Internal/Insourced,3-Tier (Web/App/DB Svrs),Home-grown,Avaya,US1,US1 (60%),PAAUTOECR,PERSONNEL ADMIN (PA)/AUTO EMPLOYEE CHANGE REQUEST (ECR),SVCS,1,0,0,0,0,0,0,0,0,0,0,0,1,Dedicated Apps,1,1,0,0,1,4,1,0
PMM Staging,Bronze,No,FINANCE,collects data for PIMM,PMM-STAGING-ENT-PROD,Quoting,Internal/Insourced,2-Tier (App Svrs + DB Svrs - Requires a client to access the app),Home-grown,Avaya,US1,US1 (100%),PMM-STAGING-ENT,PMM-STAGING-ENT-SERVICE,FIN,1,0,1,0,0,0,0,0,0,0,0,0,0,Dedicated Apps,0,0,0,0,2,7,0,8
PMTOOL,Bronze,No,SERVICES,external access to project info,PMTOOL-PROD,Product Management,Internal/Outsourced,3-Tier (Web/App/DB Svrs),Hybrid,SAUCON,,,PMTOOL,PMTOOL-SERVICE,SVCS,1,0,0,0,0,0,0,0,0,0,0,0,1,Dedicated Apps,1,0,0,1,0,0,0,0
Post,Silver,No,HR,Web Employee directory,POST-PROD,Resource Management,Internal/Outsourced,3-Tier (Web/App/DB Svrs),Home-grown,Avaya,US1,US1 (100%),POST,POST-SERVICE,CAO;#FIN;#GOV;#GSMB;#HR;#IT;#MLP;#MRKTG;#OEFC;#R&D;#SALES;#SVCS,12,1,1,1,1,1,1,1,1,1,1,1,1,Shared Apps,563,551,1,11,8,4,0,3.5
Property Tax Management System,Silver,No,FINANCE,Non-SAP tax,PTMS-PROD,Business Intelligence/Reporting,Internal/Insourced,3-Tier (Web/App/DB Svrs),Commercially Available,"Tax Compliance, Inc",US1,US1 (100%),PTMS,PROPERTY TAX MANAGEMENT SYSTEM,FIN,1,0,1,0,0,0,0,0,0,0,0,0,0,Dedicated Apps,1,0,0,1,1,4,1,0
Prophet By Baxter,Gold,Yes,SUPPLY CHAIN,Maintenance Planning tool,PROPHET-PROD,Billing/Invoicing,External/Outsourced,Other (SaaS etc..),Commercially Available,BAXTER,,,PROPHET,PROPHET-SERVICE,OEFC;#MLP,2,0,0,0,0,0,0,1,0,1,0,0,0,Shared Apps,0,0,0,0,7,0,0,1
Quarterly Representation Tool,Silver,No,FINANCE,Certify quarterly financial results,QTLY-REP-TOOL-PROD,Accounting/Finance/Treasury,Internal/Insourced,3-Tier (Web/App/DB Svrs),Home-grown,Avaya,US1,US1 (100%),QTLY-REP-TOOL,QUARTERLY REPRESENTATION TOOL,FIN,1,0,1,0,0,0,0,0,0,0,0,0,0,Dedicated Apps,17,17,0,0,2,3,0,0
Quick Quality Integrated Cube Knowledge,Bronze,No,SERVICES,HW Quality Reporting Tool,QUICK-ENT-PROD,Quoting,Internal/Outsourced,3-Tier (Web/App/DB Svrs),Home-grown,Microsoft,US1,US1 (100%),QUICK-ENT,QUICK-ENT-SERVICE,SVCS,1,0,0,0,0,0,0,0,0,0,0,0,1,Dedicated Apps,1,1,0,0,1,1,1,2005
Quick Quote Wireline,Bronze,No,SERVICES,Tool to quote Services and Products,QUICKQUOTE-WIRELINE-ENT-PROD,Quoting,Internal/Outsourced,3-Tier (Web/App/DB Svrs),Commercially Available,Quick Quote,US1,US1 (100%),QUICKQUOTE-WIRELINE-ENT,QQWIRELINE-ENT-SERVICE,SVCS,1,0,0,0,0,0,0,0,0,0,0,0,1,Dedicated Apps,1,1,0,0,3,2,1,0
RapidResponse,Silver,Yes,SUPPLY CHAIN,Supply Chain Visibility,RAPIDRESPONSE-PROD,Product Management,Internal/Insourced,2-Tier (App Svrs + DB Svrs - Requires a client to access the app),Commercially Available,Kinaxis,US1,US1 (75%),RAPIDRESPONSE,RAPIDRESPONSE-SERVICE,MLP,1,0,0,0,0,0,0,1,0,0,0,0,0,Dedicated Apps,130,12,0,118,19,2,0,2014.2
Resource Management System,Bronze,No,SERVICES,Manage Class Schedules/Enrollments,RMS-PROD,Resource Management,Internal/Insourced,3-Tier (Web/App/DB Svrs),Home-grown,Avaya,HIGHLANDSRANCH,HIGHLANDSRANCH (100%),RMS,RESOURCE MANAGEMENT SYSTEM (RMS),SVCS,1,0,0,0,0,0,0,0,0,0,0,0,1,Dedicated Apps,3,2,1,0,1,1,1,0
REVPRO,Silver,Yes,FINANCE,Extracts data from SAP into RevPro,REVPRO-PROD,Accounting/Finance/Treasury,Internal/Outsourced,3-Tier (Web/App/DB Svrs),Commercially Available,Leeyo Software,,,REVPRO,REVPRO-SERVICE,FIN,1,0,1,0,0,0,0,0,0,0,0,0,0,Dedicated Apps,15,14,0,1,5,4,2,1
Russia Enterprise Local Accounting Application,Bronze,No,FINANCE,Statutory - Accounting,ENTERPRISE1C-FINANCIAL-RUSSIA-PROD,Accounting/Finance/Treasury,Internal/Outsourced,3-Tier (Web/App/DB Svrs),Hybrid,1c,EMEA DC1,EMEA DC1 (100%),ENTERPRISE1C-FINANCIAL-RUSSIA,ENTERPRISE 1C,FIN,1,0,1,0,0,0,0,0,0,0,0,0,0,Dedicated Apps,0,0,0,0,0,1,0,0
Sabrix,Silver,Yes,FINANCE,Manages Global Transaction Taxes,SABRIX-ENT-PROD,Accounting/Finance/Treasury,Internal/Outsourced,3-Tier (Web/App/DB Svrs),Commercially Available,SABRIX,US1,US1 (100%),SABRIX-ENT,SABRIX-ENT-SERVICE,FIN,1,0,1,0,0,0,0,0,0,0,0,0,0,Dedicated Apps,14,2,0,12,1,2,0,5.1
Sales and Use Tax,Silver,No,FINANCE,Creates monthly sales & use tax returns,SALESANDUSETAX-PROD,Accounting/Finance/Treasury,Internal/Insourced,3-Tier (Web/App/DB Svrs),Home-grown,Avaya,US1,US1 (100%),SALESANDUSETAX,SALES & USE TAX - SAU,FIN,1,0,1,0,0,0,0,0,0,0,0,0,0,Dedicated Apps,1,1,0,0,2,2,1,0
SAP A Box Accounts Payable (e-Supply),Bronze,No,SAP/ERP,SAP Accounts Payable (e-Supply) - Prod,SAP-A3P,Accounting/Finance/Treasury,Internal/Insourced,3-Tier (Web/App/DB Svrs),Commercially Available,SAP,US1,US1 (100%),SAP-A,SAP-A3P-SERVICE,FIN,1,0,1,0,0,0,0,0,0,0,0,0,0,Dedicated Apps,0,0,0,0,0,3,0,4.6
SAP B Box,Bronze,No,SAP/ERP,SAP U.S. Sales & Distribution - Test,SAP-B1P,Product Management,Internal/Insourced,3-Tier (Web/App/DB Svrs),Commercially Available,SAP,US1,US1 (100%),SAP-B,SAP B1P,OEFC,1,0,0,0,0,0,0,0,0,1,0,0,0,Dedicated Apps,62,59,1,2,22,8,1,605
SAP EDW Application instances,Silver,No,SAP/ERP,Management Reporting,SAP-EDW,Business Intelligence/Reporting,Internal/Insourced,3-Tier (Web/App/DB Svrs),Commercially Available,SAP,US1,US1 (100%),SAP EDW,ENTERPRISE DATA WAREHOUSE (EDW)-SERVICE,FIN;#IT;#MLP;#MRKTG;#OEFC;#SALES;#SVCS,7,0,1,0,0,0,1,1,1,1,0,1,1,Shared Apps,52,50,0,2,6,9,0,7.3
SAP Enterprise Portal,Silver,No,SAP/ERP,Netweaver Enterprise Portal Production,SAP-EPP,Web Portal,Internal/Insourced,3-Tier (Web/App/DB Svrs),Commercially Available,SAP,US1,US1 (100%),SAP-EP,SAP-EPP-SERVICE,IT,1,0,0,0,0,0,1,0,0,0,0,0,0,Dedicated Apps,1,0,0,1,2,7,1,7.31
SAP FIORI,Bronze,No,SAP/ERP,SAP FIORI - Projects,SAP-GWP,Enterprise Content Management,Internal/Insourced,2-Tier (App Svrs + DB Svrs - Requires a client to access the app),Home-grown,SAP,,,SAP-GW,SAP-GW-SERVICE,IT,1,0,0,0,0,0,1,0,0,0,0,0,0,Dedicated Apps,50,38,0,12,3,5,1,#N/A
SAP Nortel Finance and Sales,Silver,No,SAP/ERP,Core ERP that runs Finances/Sales (PE1),SAP-FT-ENT-PROD,Product Management,Internal/Outsourced,3-Tier (Web/App/DB Svrs),Commercially Available,SAP,US1,US1 (100%),SAP-FT-ENT,SAP-FT-ENT-SERVICE,FIN,1,0,1,0,0,0,0,0,0,0,0,0,0,Dedicated Apps,139,97,0,42,28,7,0,5
SAP Nortel Master Data,Silver,No,APPLICATION SHARED SERVICES,System of record for certain master data,SAP-MDM-ENT-PROD,Document/File repository,Internal/Outsourced,3-Tier (Web/App/DB Svrs),Commercially Available,MDM,US1,US1 (100%),SAP-MDM-ENT,SAP-MDM-ENT-SERVICE,GOV;#SALES,2,0,0,1,0,0,0,0,0,0,0,1,0,Shared Apps,6,6,0,0,2,3,0,5.5
SAP PI Box -PRD (Projects),Bronze,Yes,SAP/ERP,SAP International Sales & Distrib - Prod,SAP-XP1,Product Management,Internal/Insourced,3-Tier (Web/App/DB Svrs),Commercially Available,SAP,US1,US1 (100%),SAP XP1,SAP-XP1-SERVICE,MLP,1,0,0,0,0,0,0,1,0,0,0,0,0,Dedicated Apps,70,2,0,68,1,4,0,7.3
SAP PPM 5.0,Bronze,Yes,SAP/ERP,SAP PPM 5.0 Production Server,SAP-PP1,Project Management,Internal/Insourced,3-Tier (Web/App/DB Svrs),Commercially Available,SAP,US1,US1 (100%),SAP PP1,SAP-PP1-SERVICE,IT,1,0,0,0,0,0,1,0,0,0,0,0,0,Dedicated Apps,49,18,0,31,4,6,1,5
SAP-BPA,Silver,No,SAP/ERP,SAP BW,BPA-PROD,Business Intelligence/Reporting,Internal/Insourced,3-Tier (Web/App/DB Svrs),Commercially Available,SAP,,,BPA,BPA-SERVICE,OEFC;#FIN;#SALES;#MLP;#SVCS;#IT,6,0,1,0,0,0,1,1,0,1,0,1,1,Shared Apps,12,11,1,0,0,0,0,#N/A
SAP-BW-ENT,Bronze,Yes,APPLICATION SHARED SERVICES,Stores Business-critical Information,SAP-BW-ENT-PROD,Business Intelligence/Reporting,Internal/Insourced,2-Tier (App Svrs + DB Svrs - Requires a client to access the app),Commercially Available,SAP,US1,US1 (100%),SAP-BW-ENT,BW-TECH-BASIS,GOV,1,0,0,1,0,0,0,0,0,0,0,0,0,Dedicated Apps,14,14,0,0,4,4,0,7
SAP-G1P,Gold,No,SUPPLY CHAIN,SAP Global Trade Services,SAP-G1P,Product Management,Internal/Insourced,3-Tier (Web/App/DB Svrs),Commercially Available,SAP,US1,US1 (100%),SAPG1P,GTS-ENT-SERVICE,MLP,1,0,0,0,0,0,0,1,0,0,0,0,0,Dedicated Apps,7,5,0,2,3,3,0,8
SAP-H2P,Silver,No,SAP/ERP,SAP HR - Prod,SAP-H2P,Resource Management,Internal/Insourced,3-Tier (Web/App/DB Svrs),Commercially Available,SAP,US1,US1 (100%),SAP-H,SAP H2P,HR,1,0,0,0,0,1,0,0,0,0,0,0,0,Dedicated Apps,31,13,0,18,2,2,0,4.7
SAP-I2P,Gold,Yes,SAP/ERP,SAP International Sales & Distrib - Prod,SAP-I2P,Product Management,Internal/Insourced,3-Tier (Web/App/DB Svrs),Commercially Available,SAP,US1,US1 (100%),SAP-I,SAP-I2P-VISTEX-SERVICE,OEFC;#FIN;#SALES;#MLP;#SVCS;#IT,6,0,1,0,0,0,1,1,0,1,0,1,1,Shared Apps,3172,2947,8,217,128,22,2,605
SAU COI Desktop,Silver,No,FINANCE,Client/Server application for SAP,SAU-COI-DESKTOP-PROD,Administer/Manage/Monitor Systems,Internal/Insourced,2-Tier (App Svrs + DB Svrs - Requires a client to access the app),Commercially Available,IBM,US1,US1 (100%),SAU-COI-DESKTOP,SAU-COI-DESKTOP-SERVICE,FIN,1,0,1,0,0,0,0,0,0,0,0,0,0,Dedicated Apps,1,1,0,0,0,1,0,9
Seeburger Prod Environment,Bronze,No,E-COMMERCE,Electronic data interchange,SEEBURGER-PROD,Middleware,Internal/Insourced,2-Tier (App Svrs + DB Svrs - Requires a client to access the app),Commercially Available,SEEBURGER,US1,US1 (100%),SEEBURGER,SEEBURGER-SERVICE,GSMB,1,0,0,0,1,0,0,0,0,0,0,0,0,Dedicated Apps,0,0,0,0,2,4,1,5
Services Web Registration Tool,Bronze,No,SERVICES,SWRT-V4 development/test environment,SWRT-V4-PROD,Quoting,Internal/Insourced,3-Tier (Web/App/DB Svrs),Home-grown,Avaya,US1,US1 (100%),SWRT-V4,SERVICES WEB REGISTRATION TOOL (SWRT),SVCS,1,0,0,0,0,0,0,0,0,0,0,0,1,Dedicated Apps,3,2,0,1,1,3,1,0
Shift Bid,Bronze,No,SERVICES,Bid on shifts for Represented Workers,SHIFTBID-PROD,Resource Management,Internal/Insourced,3-Tier (Web/App/DB Svrs),Home-grown,HP,,,SHIFTBID,SHIFT BID WEBPAGE,SVCS,1,0,0,0,0,0,0,0,0,0,0,0,1,Dedicated Apps,1,0,1,0,1,2,0,0
SOX Express,Bronze,No,FINANCE,Corporate SOX controls,SOX-EXPRESS-PROD,Business Intelligence/Reporting,Internal/Insourced,3-Tier (Web/App/DB Svrs),Commercially Available,OpenPages,US1,US1 (100%),SOX-EXPRESS,SOX_EXPRESS,FIN,1,0,1,0,0,0,0,0,0,0,0,0,0,Dedicated Apps,1,1,0,0,1,3,0,3
SQA StepQ,Silver,No,SALES/MARKETING,To manage supplier/vendor related events,STEPQ-PROD,Quality,Software As a Service (SaaS),Other (SaaS etc..),Commercially Available,SQA Services,US1,US1 (100%),STEPQ,STEPQ-SERVICE,FIN,1,0,1,0,0,0,0,0,0,0,0,0,0,Dedicated Apps,0,0,0,0,0,3,1,0
SuccessFactors,Silver,Yes,HR,Cloud Based human capital management,TALENTMAKER2-PROD,Resource Management,Software As a Service (SaaS),Other (SaaS etc..),Commercially Available,SAP,,,TALENTMAKER2,TALENTMAKER2-SERVICE,HR,1,0,0,0,0,1,0,0,0,0,0,0,0,Dedicated Apps,740,658,10,72,60,0,0,#N/A
Supervisor Transaction Center,Silver,Yes,HR,Employee Mgmt for Supervisor,STC-PROD,Resource Management,Internal/Insourced,3-Tier (Web/App/DB Svrs),Home-grown,Avaya,US1,US1 (100%),STC,SUPERVISOR TRANSACTION CENTER (STC),HR,1,0,0,0,0,1,0,0,0,0,0,0,0,Dedicated Apps,58,52,0,6,6,1,1,1
Supply Chain Forms,Silver,No,SUPPLY CHAIN,Form Tools used by Supply Chain,SUPPLY-CHAIN-JETFORMS-ADOBE-PROD,Product Management,Internal/Insourced,1-Tier (App Svrs - Requires a client to access the app),Commercially Available,Adobe,EMEA DC1,EMEA DC1 (33%),SUPPLY-CHAIN-JETFORMS-ADOBE,SUPPLY CHAIN FORMS,MLP,1,0,0,0,0,0,0,1,0,0,0,0,0,Dedicated Apps,0,0,0,0,0,3,0,5.3
Tax Depreciation,Bronze,No,FINANCE,reports monthly sales & use tax returns,TAXWEB-PROD,Accounting/Finance/Treasury,Internal/Insourced,3-Tier (Web/App/DB Svrs),Home-grown,IBM Sterling Commerce,US1,US1 (100%),TAXWEB,TAXWEB-SERVICE,FIN,1,0,1,0,0,0,0,0,0,0,0,0,0,Dedicated Apps,2,2,0,0,1,2,0,0
TIMECARD application,Bronze,No,FINANCE,Electronic Timecard Program,TIMECARD-PROD,Payroll,Internal/Insourced,3-Tier (Web/App/DB Svrs),Home-grown,Avaya,US1,US1 (82%),TIMECARD,TIMECARD-NON SUPPORTED-SERVICE,IT,1,0,0,0,0,0,1,0,0,0,0,0,0,Dedicated Apps,12,9,2,1,3,8,1,0
Transfer Manager Schedule,Bronze,No,HR,Handles scheduling of transfer of agents with the shifts cov,TM-SCHEDULE-PROD,Resource Management,Internal/Insourced,3-Tier (Web/App/DB Svrs),Home-grown,Avaya,US1,US1 (100%),TM-SCHEDULE,TM-SCHEDULE-SERVICE,HR;#SVCS,2,0,0,0,0,1,0,0,0,0,0,0,1,Shared Apps,0,0,0,0,0,4,1,0
TREX,Silver,Yes,FINANCE,Travel/Expense reporting,TREX-PROD,Expense Management,Software As a Service (SaaS),3-Tier (Web/App/DB Svrs),Commercially Available,Concur,US1,US1 (100%),TREX,TREX-SERVICE,FIN,1,0,1,0,0,0,0,0,0,0,0,0,0,Dedicated Apps,382,377,4,1,7,7,2,8
Vartech,Gold,No,SALES,Vartech is a payroll validation tool,VARTECH-PROD,Payroll,Internal/Outsourced,3-Tier (Web/App/DB Svrs),Hybrid,SAUCON,US1,US1 (100%),VARTECH,VARTECH-SERVICE,SALES,1,0,0,0,0,0,0,0,0,0,0,1,0,Dedicated Apps,1,1,0,0,3,8,1,0
Vertex QR9,Silver,No,FINANCE,Calculates Tax Returns for US jurisdictions,VERTEX-QR9-PROD,Accounting/Finance/Treasury,Internal/Insourced,1-Tier (App Svrs - Requires a client to access the app),Commercially Available,VERTEX,US1,US1 (100%),VERTEX-QR9,VERTEX-QR9-SERVICE,FIN,1,0,1,0,0,0,0,0,0,0,0,0,0,Dedicated Apps,0,0,0,0,0,5,1,9
Vertex Sales and Use Tax,Gold,Yes,FINANCE,Calculates sales & use tax for invoices,VERTEX-O-PROD,Accounting/Finance/Treasury,Internal/Insourced,3-Tier (Web/App/DB Svrs),Commercially Available,Vertex,,,VERTEX-O,VERTEX-O-SERVICE,FIN,1,0,1,0,0,0,0,0,0,0,0,0,0,Dedicated Apps,39,3,1,35,1,2,1,7
Vertex Sales and Use Tax,Silver,No,FINANCE,Calculates sales & use tax for invoices,VERTEX-PROD,Accounting/Finance/Treasury,Internal/Insourced,2-Tier (App Svrs + DB Svrs - Requires a client to access the app),Commercially Available,Vertex,US1,US1 (100%),VERTEX,VERTEX-SERVICE,FIN,1,0,1,0,0,0,0,0,0,0,0,0,0,Dedicated Apps,19,15,1,3,2,4,0,3.1
